person_id,surname,name_variants,n_companies,n_board_companies,n_observations,top_role,first_year,last_year,sectors
ballande-a,Ballande,A. Ballande; André Ballande,9,9,20,administrateur,1909,1951,Autres sociétés; Documentation générale (par ordre chronologique); Documents généraux; Mines et métallurgie
milliard-h,Milliard,H. Milliard; Henry Milliard,7,7,16,administrateur,1919,1964,Autres sociétés; Documentation générale (par ordre chronologique); Entreprises diverses; Mines et métallurgie
van-bree-f,Van Brée,F. Van Brée,7,7,11,administrateur,1922,1964,Autres sociétés; Documentation générale (par ordre chronologique); Mines et métallurgie
loste-h,Loste,H. Loste; H. Loste. 5; Henri Loste; Henry Loste,6,6,20,administrateur,1919,1953,Autres sociétés; Documentation générale (par ordre chronologique); Entreprises diverses; Mines et métallurgie
laroque-g,Laroque,G. Laroque; Gabriel Laroque,6,6,16,administrateur,1919,1937,Autres sociétés; Documentation générale (par ordre chronologique); Entreprises diverses; Mines et métallurgie
froment-guieysse-g,Froment-Guieysse,Froment-Guieysse; G. Froment- Guieysse; G. Froment-Guieysse; Georges Froment-Guieysse,6,6,13,administrateur,1922,1928,Documents généraux; Sociétés
rougy-a,Rougy,A. Rougy; Abel Rougy,6,6,13,administrateur,1919,1937,Autres sociétés; Documentation générale (par ordre chronologique); Mines et métallurgie
chavane-l,Chavane,Chavane; L. Chavane; Louis Chavane,6,6,10,administrateur,1909,1935,Autres sociétés; Documentation générale (par ordre chronologique); Mines et métallurgie
bertrand-l,Bertrand,L. Bertrand; Léon Bertrand,5,5,20,administrateur,1921,1948,Documents généraux; Sociétés
berge,Berge,Berge,5,5,10,administrateur,1920,1937,Documentation générale (par ordre chronologique); Mines et métallurgie
agache-e,Agache,Ed Agache; Edmond Agache; Edmond Agache2,5,5,9,administrateur,1922,1928,Documents généraux; Sociétés
revel-c,Revel,Ch. Revel; Charles Revel; Revel,5,5,8,administrateur,1925,1927,Documentation générale (par ordre chronologique); Entreprises diverses
aupied-c,Aupied,C. Aupied; Ch. Aupied; Charles Aupied; Charles-Émile Aupied,5,5,8,administrateur,1926,1950,Documentation générale (par ordre chronologique); Entreprises diverses
berge-m,Berge,Maurice Berge,4,4,13,administrateur,1919,1951,Autres sociétés; Documentation générale (par ordre chronologique); Entreprises diverses
jeannin-p,Jeannin,P. Jeannin; Pierre Jeannin,4,4,12,administrateur,1919,1951,Autres sociétés; Documentation générale (par ordre chronologique); Entreprises diverses
chalas-e,Chalas,E. Chalas; Emile Chalas; Émile Chalas,4,4,11,administrateur,1919,1951,Autres sociétés; Documentation générale (par ordre chronologique); Mines et métallurgie
roume-e,Roume,E. Roume; Ernest Roume; Roume,4,4,10,president,1910,1964,Documentation générale (par ordre chronologique); Documents généraux; Mines et métallurgie; Sociétés
dewez-h,Dewez,H. Dewez,4,4,10,administrateur,1931,1964,Autres sociétés; Documentation générale (par ordre chronologique); Mines et métallurgie
gallois-c,Gallois,Ch. Gallois; Charles Gallois,4,4,8,administrateur,1922,1928,Documents généraux; Sociétés
hagen-n,Hagen,N. Hagen; Nicolas Hagen,4,4,7,administrateur,1926,1950,Documentation générale (par ordre chronologique); Entreprises diverses
baudouin-p,Baudouin,P. Baudouin; Paul Baudouin,4,4,7,president,1933,1964,Documentation générale (par ordre chronologique); Mines et métallurgie
l-chavane,L Chavane,L Chavane,4,4,6,administrateur,1920,1926,Documentation générale (par ordre chronologique); Documents généraux; Mines et métallurgie
h-picot,H Picot,H Picot,4,4,5,president,1922,1938,Documents généraux; Sociétés
catalan-l,Catalan,Catalan; L. Catalan; Louis Catalan,4,4,5,administrateur,1932,1964,Documentation générale (par ordre chronologique); Mines et métallurgie
luc-a,Luc,Albert Luc; Luc,4,4,5,administrateur,1926,1927,Entreprises diverses
milliard,Milliard,Milliard,4,4,4,administrateur,1924,1937,Documentation générale (par ordre chronologique); Mines et métallurgie
touze-e,Touze,E. Touze; Étienne Touze; Étienne-Adolphe Touze,3,3,17,president,1921,1951,Documents généraux; Sociétés
johnston-g,Johnston,G. Johnston; George Johnston; Georges Johnston,3,3,16,administrateur,1925,1953,Documents généraux; Sociétés
chiris-g,Chiris,Georges Chiris,3,3,12,president,1914,1937,Documents généraux; Sociétés
levy-e,Lévy,Edmond Lévy,3,3,12,administrateur,1914,1951,Documents généraux; Sociétés
francais-des-nouvelles-hebrides-c,français des Nouvelles-Hébrides,Comptoirs Français des Nouvelles-Hébrides; Comptoirs français des Nouvelles Hébrides; Comptoirs français des Nouvelles- Hébrides; Comptoirs français des Nouvelles-Hébrides,3,3,11,administrateur,1926,1951,Documentation générale (par ordre chronologique); Entreprises diverses
carrier,Carrier,Carrier,3,3,8,administrateur,1921,1938,Documentation générale (par ordre chronologique); Documents généraux; Mines et métallurgie; Sociétés
picot-h,Picot,Henri Picot,3,3,7,president,1922,1928,Documents généraux; Sociétés
guiraud-p,Guiraud,P. Guiraud; Paul Guiraud,3,3,7,administrateur,1919,1937,Autres sociétés; Documentation générale (par ordre chronologique); Mines et métallurgie
dehesdin-a,Dehesdin,A. Dehesdin,3,3,6,administrateur_delegue,1919,1937,Documentation générale (par ordre chronologique); Mines et métallurgie
lammens-l,Lammens,L. Lammens; Léon Lammens,3,3,6,administrateur,1922,1928,Documents généraux; Sociétés
bonneaud-h,Bonneaud,Henri Bonneaud; Henry Bonneaud,3,3,6,administrateur,1930,1951,Documentation générale (par ordre chronologique); Entreprises diverses
joyer-a,Joyer,A. Joyer; André Joyer; Joyer,3,3,5,administrateur,1927,1950,Entreprises diverses
higginson-g,Higginson,G. Higginson; Gustave Higginson,3,3,4,administrateur,1922,1926,Documentation générale (par ordre chronologique); Entreprises diverses
l-bertrand,L Bertrand,L Bertrand; L Bertrand 1,3,3,4,administrateur,1922,1928,Documents généraux; Sociétés
crowther-t,Crowther,Crowther; Tom Crowther,3,3,4,administrateur,1936,1951,Autres sociétés; Documentation générale (par ordre chronologique); Mines et métallurgie
girot-h,Girot,H. Girot; Henri Girot; Henri-François Girot,3,3,4,administrateur,1926,1927,Entreprises diverses
picanon-e,Picanon,Picanon; Édouard Picanon,3,3,4,administrateur,1927,1950,Entreprises diverses
miniere-des-nouvelles-hebrides,minière des Nouvelles-Hébrides,minière des Nouvelles- Hébrides; minière des Nouvelles-Hébrides,3,3,4,administrateur,1927,1927,Entreprises diverses
criny-de-verteuil-l,Criny de Verteuil,Criny de Verteuil; Léonce Criny de Verteuil,3,3,3,administrateur,1911,1922,Documentation générale (par ordre chronologique); Entreprises diverses
carrier-m,Carrier,Maurice Carrier,3,3,3,administrateur,1922,1926,Documents généraux; Mines et métallurgie; Sociétés
laurent,Laurent,Laurent,3,3,3,administrateur,1926,1937,Documentation générale (par ordre chronologique); Entreprises diverses; Mines et métallurgie
bouffe-g,Bouffe,G. Bouffé; Gaston Bouffe; Gaston Bouffé,2,2,14,administrateur,1925,1953,Documents généraux; Sociétés
hersent-j,Hersent,J. B. D. Hersent; J. B. Hersent; J.-B. Hersent; J.B.D. Hersent,2,2,12,administrateur,1921,1940,Documents généraux; Sociétés
king-a,King,A. King; A.-J. King; A.J. King,2,2,12,administrateur,1925,1948,Documents généraux; Sociétés
pilter-j,Pilter,J. Pilter; John Pilter,2,2,11,administrateur,1921,1938,Documents généraux; Sociétés
allegre-l,Allègre,L. Allègre; Louis Allègre,2,2,11,administrateur,1932,1953,Documentation générale (par ordre chronologique); Mines et métallurgie
hersent-g,Hersent,G. Hersent; Georges Hersent,2,2,10,president,1925,1945,Documents généraux; Sociétés
cunisset-p,Cunisset,P. Cunisset,2,2,9,administrateur,1914,1937,Documents généraux; Sociétés
bonneaud-a,Bonneaud,Albert Bonneaud,2,2,8,administrateur,1919,1937,Autres sociétés; Documentation générale (par ordre chronologique); Entreprises diverses
augis-a,Augis,André Augis,2,2,7,administrateur_delegue,1919,1951,Autres sociétés; Documentation générale (par ordre chronologique)
ballande-p,Ballande,Pierre Ballande,2,2,6,administrateur,1919,1937,Autres sociétés; Documentation générale (par ordre chronologique); Entreprises diverses
viallate-a,Viallate,A. Viallate; Achille Viallate,2,2,6,administrateur,1922,1964,Documentation générale (par ordre chronologique); Mines et métallurgie
tandonnet-p,Tandonnet,P. Tandonnet,2,2,5,administrateur,1922,1933,Autres sociétés; Documentation générale (par ordre chronologique); Documents généraux
flipo-p,Flipo,P. Flipo; Pierre Flipo,2,2,5,administrateur,1921,1926,Documents généraux; Sociétés
barrau-e,Barrau,Ernest Barrau; Ernest Barrau); Ernest Barrau.),2,2,5,administrateur,1926,1951,Documentation générale (par ordre chronologique)
mirabaud-p,Mirabaud,P. Mirabaud; Pierre Mirabaud,2,2,5,administrateur,1922,1964,Documentation générale (par ordre chronologique); Mines et métallurgie
